TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER
34,65,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.002925,0.0000,23.6500,N,Y,?,5.00,?,?,?,11.200000,3,BEFORE & AFTER CAMP
81,64,Male,Malaysia,PERAK,Active,Active,N,?,N,N,?,?,0.002400,0.000060,0.0000,0.0000,Y,Y,10.00,10.00,?,?,?,?,0,BEFORE & AFTER CAMP
152,74,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,13.6666,12.4000,Y,Y,5.00,10.00,?,?,5.790000,2.960000,0,BEFORE & AFTER CAMP
32,72,Male,Malaysia,PENANG,Active,Active,N,?,N,N,?,?,0.000044,0.000000,0.0000,0.0000,Y,N,5.00,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
135,28,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,BEFORE & AFTER CAMP
23,34,Female,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000001,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,6,DURING & AFTER CAMP
46,35,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,35,NO ACTIVITY SINCE SEP
111,27,Female,Malaysia,PERAK,Active,Active,N,?,N,N,?,?,0.000004,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,4,DURING & AFTER CAMP
21,25,Male,Malaysia,KLANG VALLEY,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,17,DURING & AFTER CAMP
68,29,Male,Malaysia,KELANTAN,Active,Active,N,?,N,N,?,?,0.000000,0.011427,0.0000,0.0000,N,Y,?,5.00,?,?,?,?,0,BEFORE & AFTER CAMP
123,35,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,Y,Y,14.99,14.99,15.043087,46.048999,0.0000,0.0000,N,Y,?,30.00,?,?,0.800000,19.020000,0,BEFORE & AFTER CAMP
75,30,Male,Malaysia,MALACCA,Active,Active,N,?,N,Y,?,20.00,0.000000,36.301912,0.0000,0.0000,N,N,?,?,?,?,?,50.000000,2,BEFORE & AFTER CAMP
63,26,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.001871,0.001121,0.0000,0.0000,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
48,33,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,2.8333,0.0000,N,N,?,?,?,?,1.200000,?,33,NO ACTIVITY SINCE SEP
129,61,Female,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.052953,0.090998,0.0000,66.4667,N,Y,?,10.00,?,?,?,21.900000,0,DURING & AFTER CAMP
27,40,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.138148,0.000000,12.5000,0.0000,Y,N,10.00,?,?,?,4.200000,?,0,DURING & AFTER CAMP
58,44,Male,Malaysia,KEDAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,BEFORE & AFTER CAMP
37,64,Female,Malaysia,JOHORE,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,2,DURING & AFTER CAMP
34,23,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,27.99,?,0.363811,0.264800,5.1667,1.5500,Y,Y,30.00,30.00,?,?,?,?,4,DURING & AFTER CAMP
20,22,Female,Malaysia,TERENGGANU,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.038406,3.3667,0.0000,Y,N,10.00,?,?,?,0.800000,?,11,BEFORE & AFTER CAMP
18,30,Male,Malaysia,PAHANG,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
71,39,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,Y,29.98,29.99,0.376531,0.000000,0.1333,0.0000,N,N,?,?,?,?,30.580000,29.990000,0,DURING & AFTER CAMP
12,26,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,15.00,8.00,0.726511,0.875371,29.2166,1.3667,Y,Y,5.00,10.00,?,?,27.400000,16.400000,8,BEFORE & AFTER CAMP
195,64,Male,Malaysia,PAHANG,Active,Active,Y,10/6/2022,Y,N,27.98,?,1.204750,0.000000,49.3500,44.1500,Y,N,45.00,?,?,?,36.000000,1.240000,0,DURING & AFTER CAMP
43,32,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,15.00,1.50,0.076296,2.191871,0.0000,0.0333,N,N,?,?,?,?,?,1.800000,0,DURING & AFTER CAMP
70,24,Female,Malaysia,JOHORE,Active,Active,N,?,N,N,?,?,1.366311,0.998361,0.4333,0.0000,Y,Y,15.00,15.00,?,?,12.000000,12.000000,2,BEFORE & AFTER CAMP
194,70,Female,Malaysia,PERAK,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
20,67,Female,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.087831,0.000000,0.0000,6.9500,Y,N,15.00,?,?,?,?,2.200000,0,BEFORE & AFTER CAMP
28,25,Female,Malaysia,PAHANG,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP
35,37,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,Y,Y,1.00,1.00,?,?,30.000000,30.000000,6,BEFORE & AFTER CAMP
40,25,Female,Malaysia,KEDAH,Active,Active,N,?,N,N,?,?,0.025122,0.000000,0.0000,0.0000,N,N,?,?,3.90,?,3.900000,?,34,NO ACTIVITY SINCE SEP
22,32,Unspecified,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP
37,33,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.952038,0.0000,2.5500,N,N,?,?,?,?,6.000000,1.800000,1,BEFORE & AFTER CAMP
40,66,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,Y,Y,2.00,1.50,0.030938,9.479437,0.0000,0.0000,Y,Y,5.00,5.00,?,?,?,4.500000,0,DURING & AFTER CAMP
23,71,Male,Malaysia,PENANG,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,BEFORE & AFTER CAMP
48,28,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.519069,2.095444,0.0000,0.0000,Y,Y,10.00,5.00,?,?,?,4.000000,12,DURING & AFTER CAMP
64,32,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,Y,Y,5.00,5.00,9.96,0.15,?,0.150000,8,BEFORE & AFTER CAMP
69,26,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,Y,Y,10.00,20.00,?,?,?,?,1,DURING & AFTER CAMP
62,26,Female,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,0.025561,0.0000,0.0000,N,N,?,?,?,?,?,?,6,BEFORE & AFTER CAMP
61,47,Female,Malaysia,PENANG,Active,Active,Y,10/6/2022,Y,Y,34.99,35.00,3.239902,0.983291,3.5334,12.5333,Y,N,50.00,?,6.00,?,37.990000,35.000000,0,BEFORE & AFTER CAMP
18,30,Male,Malaysia,KLANG VALLEY,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,2,DURING & AFTER CAMP
21,25,Female,Malaysia,PAHANG,Active,Active,N,?,Y,N,5.00,?,0.009930,0.000000,0.0000,0.0000,Y,N,5.00,?,?,?,5.000000,?,2,BEFORE & AFTER CAMP
52,47,Male,Malaysia,TERENGGANU,Active,Active,Y,10/6/2022,Y,N,15.00,?,3.256423,9.133951,0.0000,0.0000,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP
53,66,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,Y,15.00,1.50,0.000003,0.093627,0.0000,1.6333,N,Y,?,5.00,?,?,?,3.000000,0,DURING & AFTER CAMP
84,72,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,18,DURING CAMP THEN REMAIN
182,70,Male,Malaysia,JOHORE,Active,Active,N,?,N,N,?,?,0.000000,0.029213,0.0000,32.7000,N,N,?,?,?,?,?,34.240000,2,BEFORE & AFTER CAMP
59,31,Female,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000101,0.000362,0.0000,0.0000,N,N,?,?,?,?,?,?,16,BEFORE & AFTER CAMP
188,79,Male,Malaysia,MALACCA,Active,Active,N,?,N,N,?,?,0.000000,0.022496,0.0000,0.0000,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP
67,37,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.082855,0.016978,0.0000,0.0000,Y,N,5.00,?,?,?,14.990000,?,0,DURING & AFTER CAMP
273,69,Female,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP
17,42,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,0.100000,?,38,NO ACTIVITY SINCE SEP
82,31,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,39.98,?,0.000000,0.000000,116.2167,0.0000,Y,N,70.00,?,?,?,74.880000,?,7,BEFORE & AFTER CAMP
69,63,Male,Malaysia,SARAWAK,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,BEFORE & AFTER CAMP
90,74,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000290,0.001907,0.0000,0.0000,N,N,?,?,?,?,?,?,14,BEFORE & AFTER CAMP
22,30,Unspecified,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,0.000003,0.0000,0.0000,N,Y,?,10.00,?,?,?,?,2,DURING & AFTER CAMP
42,72,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000071,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
24,26,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,15.00,1.50,3.288095,8.262159,0.0000,0.0000,N,N,?,?,?,?,3.000000,4.000000,0,DURING & AFTER CAMP
171,73,Male,Malaysia,JOHORE,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
30,70,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,Y,Y,1.00,1.00,?,?,30.000000,30.000000,6,BEFORE & AFTER CAMP
16,80,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.201314,0.256308,0.0000,0.0000,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
49,23,Female,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000026,0.0000,0.0000,N,N,?,?,?,?,?,?,10,BEFORE & AFTER CAMP
146,30,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
42,23,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,27.99,?,0.061053,0.000000,0.0000,0.0000,Y,N,30.00,?,?,?,?,?,38,NO ACTIVITY SINCE SEP
46,49,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.453664,4.902327,0.0000,0.0000,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP
108,24,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,Y,15.00,4.00,0.000000,0.229892,0.0000,5.2500,N,Y,?,10.00,?,?,1.800000,12.350000,1,BEFORE & AFTER CAMP
37,40,Female,Malaysia,PAHANG,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,2.000000,?,1,DURING & AFTER CAMP
44,59,Female,Malaysia,JOHORE,Active,Active,N,?,N,Y,?,29.99,0.199291,4.373344,0.0000,0.0000,N,Y,?,35.00,?,?,?,29.990000,0,BEFORE & AFTER CAMP
16,32,Female,Malaysia,KEDAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
25,27,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,Y,Y,6.00,8.00,4.213926,9.344818,0.6667,0.0000,Y,Y,40.00,20.00,?,?,8.000000,22.000000,0,DURING & AFTER CAMP
37,37,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,5,BEFORE & AFTER CAMP
64,27,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,Y,15.00,1.00,0.059233,0.112448,0.0000,0.0000,Y,Y,5.00,5.00,?,?,?,1.000000,0,BEFORE & AFTER CAMP
127,24,Female,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,Y,Y,5.00,5.00,4.00,4.00,4.000000,4.000000,4,BEFORE & AFTER CAMP
21,62,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,Y,29.99,29.98,8.613361,11.030550,0.0000,0.0000,Y,Y,30.00,20.00,?,?,29.990000,29.980000,0,DURING & AFTER CAMP
52,34,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,29.98,?,0.582808,0.511307,5.6167,0.0000,N,N,?,?,?,?,1.800000,?,7,DURING & AFTER CAMP
18,33,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,1.00,?,0.007709,2.938354,0.0000,0.0000,N,N,?,?,?,?,?,?,17,BEFORE & AFTER CAMP
22,69,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,9.00,?,6.000000,?,35,NO ACTIVITY SINCE SEP
18,29,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.633608,6.484606,0.0000,1.2000,N,N,?,?,?,?,2.000000,0.360000,0,BEFORE & AFTER CAMP
86,59,Female,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,39,NO ACTIVITY SINCE SEP
26,27,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,Y,15.00,10.00,0.000000,0.028438,0.0000,0.0000,N,Y,?,10.00,?,?,?,10.000000,0,BEFORE & AFTER CAMP
34,22,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,3.00,?,28.983741,0.011048,1.0333,0.0000,Y,N,30.00,?,?,?,16.740000,1.000000,9,BEFORE & AFTER CAMP
55,31,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,9,BEFORE & AFTER CAMP
61,23,Male,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.098575,0.000255,0.0000,0.0167,N,N,?,?,?,?,?,0.300000,2,DURING & AFTER CAMP
26,22,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000004,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
54,71,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,29.98,?,6.692706,0.000000,0.0333,0.0000,Y,N,10.00,?,?,?,29.990000,?,36,NO ACTIVITY SINCE SEP
42,44,Female,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,42.000000,12.000000,0,DURING & AFTER CAMP
44,25,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,Y,15.00,4.00,71.034296,8.758982,0.0000,2.0833,Y,Y,23.00,10.00,?,?,18.580000,14.040000,0,BEFORE & AFTER CAMP
48,33,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,14.99,?,13.987949,0.000000,7.7500,0.0000,Y,N,25.00,?,?,?,21.350000,?,35,NO ACTIVITY SINCE SEP
39,31,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,5,BEFORE & AFTER CAMP
66,25,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,11.716294,9.593525,0.0000,0.0000,Y,N,10.00,?,?,?,10.000000,?,0,BEFORE & AFTER CAMP
33,52,Female,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000095,0.000023,0.0000,0.0000,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP
95,45,Male,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.005881,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,BEFORE & AFTER CAMP
123,37,Male,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,1.824340,0.000000,0.0000,0.0000,N,N,?,?,?,?,2.000000,?,37,NO ACTIVITY SINCE SEP
62,32,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,Y,N,3.00,?,10.584468,22.306445,0.0000,0.0000,Y,N,10.00,?,?,?,6.800000,?,1,DURING & AFTER CAMP
61,29,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,3.220113,0.000000,16.5167,0.0000,Y,Y,20.00,5.00,?,?,9.680000,6.000000,13,BEFORE & AFTER CAMP
78,27,Male,Malaysia,PENANG,Active,Active,N,?,Y,N,27.99,?,0.053740,0.030494,0.0000,0.0000,N,Y,?,50.00,?,?,?,?,0,BEFORE & AFTER CAMP
30,22,Female,Malaysia,KELANTAN,Active,Active,Y,10/5/2022,Y,N,15.00,?,5.432439,0.000917,0.0000,0.0000,N,N,?,?,?,?,?,?,8,DURING & AFTER CAMP
24,64,Male,Malaysia,PERAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000001,3.992204,0.0000,0.0000,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
82,43,Male,Malaysia,SARAWAK,Active,Active,N,?,Y,N,1.00,?,5.193762,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
48,65,Male,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000006,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,5,DURING & AFTER CAMP
38,60,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.110159,0.000000,0.0000,0.0000,N,N,?,?,?,?,2.940000,?,33,NO ACTIVITY SINCE SEP
277,71,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.133697,0.000000,4.9667,0.0000,Y,N,10.00,?,?,?,2.600000,?,34,NO ACTIVITY SINCE SEP
35,31,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,Y,N,4.00,?,2.691007,0.000000,74.1834,0.0000,Y,N,25.00,?,2.30,?,15.200000,?,35,NO ACTIVITY SINCE SEP
98,28,Male,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,0.010676,0.0000,0.0000,N,N,?,?,?,?,?,1.000000,0,BEFORE & AFTER CAMP
101,54,Male,Malaysia,MALACCA,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,Y,N,5.00,?,?,?,6.000000,?,20,DURING CAMP THEN REMAIN
75,27,Female,Malaysia,N SEMBILAN,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
40,31,Male,Malaysia,PERAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.086766,0.000000,0.0000,0.0000,Y,N,10.00,?,?,?,8.990000,?,39,NO ACTIVITY SINCE SEP
170,33,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,Y,?,10.00,?,?,?,?,33,NO ACTIVITY SINCE SEP
21,58,Male,Malaysia,PENANG,Active,Active,N,?,N,N,?,?,0.000000,0.000000,35.9666,0.0000,Y,N,50.00,?,?,?,29.500000,?,19,DURING CAMP THEN REMAIN
92,60,Male,Malaysia,KEDAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP
51,49,Female,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000026,0.000000,0.0000,0.0000,N,N,?,?,?,?,2.000000,1.000000,35,NO ACTIVITY SINCE SEP
127,29,Unspecified,Malaysia,PAHANG,Active,Active,Y,10/5/2022,N,N,?,?,0.000000,0.000000,0.0000,4.1333,N,N,?,?,?,?,?,1.300000,0,DURING & AFTER CAMP
187,76,Female,Malaysia,KEDAH,Active,Active,Y,10/5/2022,N,N,?,?,0.109590,0.000000,87.8667,0.0000,Y,N,100.00,?,?,?,97.280000,?,35,NO ACTIVITY SINCE SEP
152,29,Male,Malaysia,N SEMBILAN,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000030,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP
96,34,Female,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP
19,22,Male,Malaysia,SARAWAK,Active,Close,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,35,NO ACTIVITY SINCE SEP
24,25,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,Y,14.99,9.00,4.134995,1.080411,0.0500,0.0000,Y,Y,20.00,10.00,?,?,15.190000,9.000000,0,DURING & AFTER CAMP
18,36,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,Y,15.00,10.00,0.000000,4.064857,0.0000,1.6167,Y,Y,10.00,10.00,?,?,10.000000,10.000000,0,DURING & AFTER CAMP
24,47,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,29.99,?,19.055232,0.000000,1.7333,0.0000,Y,N,20.00,?,?,?,16.540000,?,35,NO ACTIVITY SINCE SEP
19,56,Male,Malaysia,JOHORE,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP
70,36,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,2.00,?,2.000000,11,BEFORE & AFTER CAMP
26,28,Female,Malaysia,JOHORE,Active,Active,Y,10/6/2022,N,Y,?,35.00,7.730694,0.000000,2.2667,0.0000,Y,Y,35.00,35.00,?,?,?,44.000000,9,DURING & AFTER CAMP
110,51,Male,Malaysia,SARAWAK,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,2.3167,2.3833,Y,N,10.00,?,?,?,0.750000,1.550000,0,DURING & AFTER CAMP
78,26,Male,Malaysia,JOHORE,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,6.000000,?,38,NO ACTIVITY SINCE SEP
35,44,Female,Malaysia,N SEMBILAN,Active,Active,Y,10/6/2022,Y,N,15.00,?,3.957720,0.000000,0.7833,0.0000,N,N,?,?,?,?,1.300000,?,35,NO ACTIVITY SINCE SEP
17,52,Male,Malaysia,SABAH,Active,Active,Y,10/5/2022,Y,N,15.00,?,1.512860,0.000000,2.2166,0.0000,Y,N,25.00,?,6.90,?,10.500000,?,34,NO ACTIVITY SINCE SEP
244,83,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP
19,26,Female,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,19,DURING CAMP THEN REMAIN
28,73,Female,Malaysia,PERAK,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,Y,?,10.00,?,?,?,?,33,NO ACTIVITY SINCE SEP
23,34,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,Y,15.00,34.99,0.022251,0.000000,0.0000,0.0000,N,Y,?,30.00,0.45,?,?,34.990000,39,NO ACTIVITY SINCE SEP
19,72,Male,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,0.157384,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
119,30,Male,Malaysia,KLANG VALLEY,Active,Active,N,?,N,N,?,?,0.000027,0.000000,0.0000,0.0000,Y,N,10.00,?,?,?,3.500000,?,39,NO ACTIVITY SINCE SEP
34,24,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
67,74,Male,Malaysia,SARAWAK,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
33,30,Female,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,6.081305,0.0000,0.3667,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
25,47,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,1.3333,1.3500,N,N,?,?,?,?,0.600000,0.900000,1,DURING & AFTER CAMP
